model,category,image,cer,wer,accuracy,time_sec,prediction,ground_truth
Tesseract,printed,printed_000.png,0.1386,0.2574,86.14,1.166,"R&D QUALITY IMPROVEMENT
SUGGESTION/SOLUTION FORM

Nane/Phone Ext.: M. Hamann, P, Harper, P, Martinez Date: __9/3/92

Supervisor/Manager: J. S. Wigand RED Group: _Licensee

Suggestion:

Discontinue coa","R&D : Suggestion: Date: Licensee Yes No 597005708 R&D QUALITY IMPROVEMENT SUGGESTION/ SOLUTION FORM Name / Phone Ext. : M. Hamann P. Harper, P. Martinez 9/ 3/ 92 R&D Group: J. S. Wigand Supervisor / M"
Tesseract,printed,printed_001.png,0.5517,0.7445,44.83,0.785,"Page 1 of 10

RESTRICTED

BROWY 6 WILLIAMSON INTERNATIONAL TOBACCO

PRODUCT SPECIFICATION

Brand: __puoENrx Conpany: _B.A.T. CYPRUS
style: Hus - KE Country: “cyPRUS
Licensee Rel, Now: Markel

Place of",Brand: Style: PHOENIX Company: Country: Macket: CYPRUS NICOSIA Weights Adhesive: Supplier(s) Color Porosity substance Ecusta E.30639 None (coresta) Type Overall skip Dimension Positioning Swift Other 
Tesseract,printed,printed_002.png,0.3209,0.4921,67.91,0.513,"- put

re
SERVICE REQUEST FROM neD BY
RECEIVEn
aeguest wou: _a5-04 i
R 2K
DATE: March 27, 1984 964
murtareo er: _p. n. warner fd PH,

COMPLETION

TARGET DATE: _April 13, 1984

counrny: BELGIUM
PROUCT:","DATE: INITIATED BY: COMPLETION COUNTRY: PRODUCT: BELGIUM BY: DATE: NOTES: 620429480 RECEIVED SERVICE REQUEST FROM R & D BY INTERNATIONAL LICENSEE OPERATIONS REQUEST NO.: 25- 84 March 27, 1984 P. H. HA"
Tesseract,printed,printed_003.png,0.7537,0.9645,24.63,1.011,"Poe H G273-62.7.
TOPCLINES progect # 1982-1020,
HOL PRODUCT TEST PAGE # Los 4 -

KOOL Lights KS vs, Bright KS Product Monitor

SUBJECT:
SAMPLE: 408 (200 Menthol Lights/105 Menthol ultra,
Lights/92. No",SUBJECT: SAMPLE: CIGARETTES: TAR 9.1 NIC .88 MOIST 14.0 MENT .841 PREFERENCE: Bright 39 34 43 35 42 8 9 11 6 8 200 100 100 100 100 ATTRIBUTES: 53+++ 60+++ 46 56+++ 50 (n=) Total Male Female 35+ KL Bri
Tesseract,printed,printed_004.png,0.4791,0.7556,52.09,0.432,"Reconstituted Tobacco Leaf Substitutions
Export Formulas
Revision Date: 05/11/95

Allowable Grade Substitutions
for Export CPCL

Allowable Substitutions
RPCFS or RPCFS-O

eer

EoeSes eae

ee RPCBS or ",B&W WCC 621800455 Reconstituted Tobacco Leaf Substitutions Export Formulas Revision Date: Allowable Grade Substitutions for Export CPCL Standard Grade Mark Allowable Substitutions PCFS Flue cured fine
Tesseract,printed,printed_005.png,0.4098,0.5598,59.02,0.618,"m°

> QUALITY IMPROVEMENT SUGGESTION
OUR MISSION IS SUPERIOR CONSUMER SATISFACTION
Highest Quality, Teamwork, Do Right Things Right The First Time
RESEARCH & DEVELOPMENT
parEr_June 21, 1993EPARTMENT: ","DATE: DEPARTMENT: Type EQPR B&W QUALITY Implement: Date 632120763 QUALITY IMPROVEMENT SUGGESTION OUR MISSION IS SUPERIOR CONSUMER SATISFACTION Highest Quality. Teamwork, Do Right Things Right The Firs"
Tesseract,handwritten,handwritten_000.png,0.5833,1.0,41.67,0.268,prle Aowu a vesolkrtiorn cou bbhe_ HQDji2 Ve,put down a resolution on the subject
Tesseract,handwritten,handwritten_001.png,0.5455,0.8889,45.45,0.333,"out “WR we te VQ bHAchear by hur, Win",and he is to be backed by Mr. Will
Tesseract,handwritten,handwritten_002.png,0.7027,1.0,29.73,0.243,OWL UO wag OmA UOUR Lohower Ute. § Fooro,nominating any more Labour life Peers
Tesseract,handwritten,handwritten_003.png,0.9091,1.0,9.09,0.21,MPs,M Ps tomorrow. Mr. Michael Foot has
Tesseract,handwritten,handwritten_004.png,0.5676,1.0,43.24,0.272,"Gules, WP Rawr Mancradey Crotange |","Griffiths, M P for Manchester Exchange ."
Tesseract,handwritten,handwritten_005.png,0.7222,1.0,27.78,0.25,"LO

Lo

La oir
Ok ~ wren ua of
2 wanda,",is to be made at a meeting of Labour
Tesseract,receipts,receipt_000.png,0.6944,0.8214,30.56,1.052,"Invoice no: 79587541

Date of issue:

Seller:

Baker-Wagner

909 Duarte Drive Apt. 874
Joelfort, NH 24372

Tax Id: 971-99-0928
IBAN: GB24KU0P15238222815223

ITEMS
No. Description Qty
1. Bottle tops li","Invoice no: 79587541 Date of issue: 08/02/2014 Seller: Client: Baker-Wagner Horton, Gillespie and Moore. 909 Duarte Drive Apt. 874 711 Richard Cove Suite 885. Joelfort, NH 24372 East Mindy, WY 58533 T"
Tesseract,receipts,receipt_001.png,0.6518,0.7895,34.82,1.185,"Invoice no: 27216737

Date of issue:

Seller:

Nicholson, Hamilton and Holder
425 Alyssa Mills Suite 578
Tracyshire, WI 66027

Tax Id: 973-80-8757
IBAN: GB58DFZZ87387694076811

ITEMS

No. Description
","Invoice no: 27216737 Date of issue: 05/23/2018 Client: Seller: Nicholson, Hamilton and Holder Campbell and Sons 425 Alyssa Mills Suite 578 853 Kristen Light Suite 482 Tracyshire, WI 66027 Port Samanth"
